1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Mar 03 23:59:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:29:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  116562
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:29:01,%RH,103.318
10/06/2026, 05:59:01,%RH,103.318
10/06/2026, 06:29:01,%RH,101.87
10/06/2026, 06:59:01,%RH,100.405
10/06/2026, 07:29:01,%RH,99.913
10/06/2026, 07:59:01,%RH,99.913
10/06/2026, 08:29:01,%RH,99.42
10/06/2026, 08:59:01,%RH,94.386
10/06/2026, 09:29:01,%RH,94.386
10/06/2026, 09:59:01,%RH,92.84
10/06/2026, 10:29:01,%RH,91.279
10/06/2026, 10:59:01,%RH,90.229
10/06/2026, 11:29:01,%RH,85.414
10/06/2026, 11:59:01,%RH,85.956
10/06/2026, 12:29:01,%RH,91.279
10/06/2026, 12:59:01,%RH,88.64
10/06/2026, 13:29:01,%RH,82.676
10/06/2026, 13:59:01,%RH,77.066
10/06/2026, 14:29:01,%RH,78.202
10/06/2026, 14:59:01,%RH,89.171
10/06/2026, 15:29:01,%RH,91.279
10/06/2026, 15:59:01,%RH,86.497
10/06/2026, 16:29:01,%RH,85.414
10/06/2026, 16:59:01,%RH,84.324
10/06/2026, 17:29:01,%RH,83.228
10/06/2026, 17:59:01,%RH,83.228
10/06/2026, 18:29:01,%RH,85.414
10/06/2026, 18:59:01,%RH,87.572
10/06/2026, 19:29:01,%RH,87.572
10/06/2026, 19:59:01,%RH,90.229
10/06/2026, 20:29:01,%RH,91.801
10/06/2026, 20:59:01,%RH,93.872
10/06/2026, 21:29:01,%RH,98.427
10/06/2026, 21:59:01,%RH,99.913
10/06/2026, 22:29:01,%RH,100.895
10/06/2026, 22:59:01,%RH,102.837
10/06/2026, 23:29:01,%RH,103.797
10/06/2026, 23:59:01,%RH,103.797
11/06/2026, 00:29:01,%RH,103.797
11/06/2026, 00:59:01,%RH,103.797
11/06/2026, 01:29:01,%RH,103.797
11/06/2026, 01:59:01,%RH,106.165
11/06/2026, 02:29:01,%RH,104.274
11/06/2026, 02:59:01,%RH,105.223
11/06/2026, 03:29:01,%RH,105.223
11/06/2026, 03:59:01,%RH,104.75
11/06/2026, 04:29:01,%RH,105.223
11/06/2026, 04:59:01,%RH,104.75
11/06/2026, 05:29:01,%RH,104.75
11/06/2026, 05:59:01,%RH,104.274
11/06/2026, 06:29:01,%RH,104.274
11/06/2026, 06:59:01,%RH,104.274
11/06/2026, 07:29:01,%RH,103.797
11/06/2026, 07:59:01,%RH,103.318
11/06/2026, 08:29:01,%RH,103.318
11/06/2026, 08:59:01,%RH,102.837
11/06/2026, 09:29:01,%RH,102.354
11/06/2026, 09:59:01,%RH,103.318
11/06/2026, 10:29:01,%RH,101.383
11/06/2026, 10:59:01,%RH,102.354
11/06/2026, 11:29:01,%RH,100.895
11/06/2026, 11:59:01,%RH,99.913
11/06/2026, 12:29:01,%RH,99.42
11/06/2026, 12:59:01,%RH,100.895
11/06/2026, 13:29:01,%RH,99.42
11/06/2026, 13:59:01,%RH,100.405
11/06/2026, 14:29:01,%RH,99.913
11/06/2026, 14:59:01,%RH,98.427
11/06/2026, 15:29:01,%RH,99.913
11/06/2026, 15:59:01,%RH,99.913
11/06/2026, 16:29:01,%RH,98.925
11/06/2026, 16:59:01,%RH,100.405
11/06/2026, 17:29:01,%RH,101.383
11/06/2026, 17:59:01,%RH,101.383
11/06/2026, 18:29:01,%RH,100.405
11/06/2026, 18:59:01,%RH,101.87
11/06/2026, 19:29:01,%RH,101.87
11/06/2026, 19:59:01,%RH,102.837
11/06/2026, 20:29:01,%RH,103.318
11/06/2026, 20:59:01,%RH,103.797
11/06/2026, 21:29:01,%RH,102.837
11/06/2026, 21:59:01,%RH,102.837
11/06/2026, 22:29:01,%RH,103.318
11/06/2026, 22:59:01,%RH,102.354
11/06/2026, 23:29:01,%RH,102.354
11/06/2026, 23:59:01,%RH,101.87
12/06/2026, 00:29:01,%RH,99.42
12/06/2026, 00:59:01,%RH,99.913
12/06/2026, 01:29:01,%RH,100.405
12/06/2026, 01:59:01,%RH,100.895
12/06/2026, 02:29:01,%RH,101.383
12/06/2026, 02:59:01,%RH,101.383
12/06/2026, 03:29:01,%RH,101.87
12/06/2026, 03:59:01,%RH,99.913
12/06/2026, 04:29:01,%RH,96.925
12/06/2026, 04:59:01,%RH,97.929
12/06/2026, 05:29:01,%RH,99.42
12/06/2026, 05:59:01,%RH,100.405
12/06/2026, 06:29:01,%RH,99.913
12/06/2026, 06:59:01,%RH,97.428
12/06/2026, 07:29:01,%RH,94.897
12/06/2026, 07:59:01,%RH,94.386
12/06/2026, 08:29:01,%RH,92.84
12/06/2026, 08:59:01,%RH,92.321
12/06/2026, 09:29:01,%RH,91.801
12/06/2026, 09:59:01,%RH,90.754
12/06/2026, 10:29:01,%RH,93.872
12/06/2026, 10:59:01,%RH,97.929
12/06/2026, 11:29:01,%RH,95.407
12/06/2026, 11:59:01,%RH,98.427
12/06/2026, 12:29:01,%RH,97.428
12/06/2026, 12:59:01,%RH,97.929
12/06/2026, 13:29:01,%RH,97.929
12/06/2026, 13:59:01,%RH,95.407
12/06/2026, 14:29:01,%RH,95.915
12/06/2026, 14:59:01,%RH,93.357
12/06/2026, 15:29:01,%RH,80.454
12/06/2026, 15:59:01,%RH,81.569
12/06/2026, 16:29:01,%RH,74.193
12/06/2026, 16:59:01,%RH,80.454
12/06/2026, 17:29:01,%RH,75.348
12/06/2026, 17:59:01,%RH,76.495
12/06/2026, 18:29:01,%RH,75.922
12/06/2026, 18:59:01,%RH,82.676
12/06/2026, 19:29:01,%RH,87.035
12/06/2026, 19:59:01,%RH,86.497
12/06/2026, 20:29:01,%RH,88.107
12/06/2026, 20:59:01,%RH,90.754
12/06/2026, 21:29:01,%RH,89.171
12/06/2026, 21:59:01,%RH,91.279
12/06/2026, 22:29:01,%RH,93.872
12/06/2026, 22:59:01,%RH,91.279
12/06/2026, 23:29:01,%RH,86.497
12/06/2026, 23:59:01,%RH,86.497
13/06/2026, 00:29:01,%RH,84.324
13/06/2026, 00:59:01,%RH,88.107
13/06/2026, 01:29:01,%RH,90.754
13/06/2026, 01:59:01,%RH,89.701
13/06/2026, 02:29:01,%RH,89.171
13/06/2026, 02:59:01,%RH,88.64
13/06/2026, 03:29:01,%RH,88.107
13/06/2026, 03:59:01,%RH,89.701
13/06/2026, 04:29:01,%RH,89.701
13/06/2026, 04:59:01,%RH,89.701
13/06/2026, 05:29:01,%RH,90.229
13/06/2026, 05:59:01,%RH,91.279
13/06/2026, 06:29:01,%RH,90.754
13/06/2026, 06:59:01,%RH,95.407
13/06/2026, 07:29:01,%RH,96.925
13/06/2026, 07:59:01,%RH,93.357
13/06/2026, 08:29:01,%RH,90.229
13/06/2026, 08:59:01,%RH,85.414
13/06/2026, 09:29:01,%RH,86.497
13/06/2026, 09:59:01,%RH,89.171
13/06/2026, 10:29:01,%RH,86.497
13/06/2026, 10:59:01,%RH,85.956
13/06/2026, 11:29:01,%RH,85.414
13/06/2026, 11:59:01,%RH,83.777
13/06/2026, 12:29:01,%RH,84.324
13/06/2026, 12:59:01,%RH,81.012
13/06/2026, 13:29:01,%RH,77.066
13/06/2026, 13:59:01,%RH,78.768
13/06/2026, 14:29:01,%RH,76.495
13/06/2026, 14:59:01,%RH,80.454
13/06/2026, 15:29:01,%RH,73.613
13/06/2026, 15:59:01,%RH,77.635
13/06/2026, 16:29:01,%RH,75.348
13/06/2026, 16:59:01,%RH,76.495
13/06/2026, 17:29:01,%RH,75.922
13/06/2026, 17:59:01,%RH,81.569
13/06/2026, 18:29:01,%RH,79.332
13/06/2026, 18:59:01,%RH,81.569
13/06/2026, 19:29:01,%RH,79.332
13/06/2026, 19:59:01,%RH,83.228
13/06/2026, 20:29:01,%RH,82.676
13/06/2026, 20:59:01,%RH,86.497
13/06/2026, 21:29:01,%RH,88.107
13/06/2026, 21:59:01,%RH,90.229
13/06/2026, 22:29:01,%RH,90.229
13/06/2026, 22:59:01,%RH,92.321
13/06/2026, 23:29:01,%RH,92.321
13/06/2026, 23:59:01,%RH,92.321
14/06/2026, 00:29:01,%RH,93.357
14/06/2026, 00:59:01,%RH,90.754
14/06/2026, 01:29:01,%RH,94.386
14/06/2026, 01:59:01,%RH,93.357
14/06/2026, 02:29:01,%RH,92.84
14/06/2026, 02:59:01,%RH,92.84
14/06/2026, 03:29:01,%RH,95.915
14/06/2026, 03:59:01,%RH,95.915
14/06/2026, 04:29:01,%RH,98.925
14/06/2026, 04:59:01,%RH,98.925
14/06/2026, 05:29:01,%RH,100.405
14/06/2026, 05:59:01,%RH,97.428
14/06/2026, 06:29:01,%RH,97.929
14/06/2026, 06:59:01,%RH,96.421
14/06/2026, 07:29:01,%RH,93.357
14/06/2026, 07:59:01,%RH,88.64
14/06/2026, 08:29:01,%RH,81.569
14/06/2026, 08:59:01,%RH,78.768
14/06/2026, 09:29:01,%RH,77.066
14/06/2026, 09:59:01,%RH,73.613
14/06/2026, 10:29:01,%RH,73.031
14/06/2026, 10:59:01,%RH,70.096
14/06/2026, 11:29:01,%RH,67.115
14/06/2026, 11:59:01,%RH,62.252
14/06/2026, 12:29:01,%RH,53.465
14/06/2026, 12:59:01,%RH,57.902
14/06/2026, 13:29:01,%RH,61.636
14/06/2026, 13:59:01,%RH,70.686
14/06/2026, 14:29:01,%RH,65.305
14/06/2026, 14:59:01,%RH,64.698
14/06/2026, 15:29:01,%RH,67.715
14/06/2026, 15:59:01,%RH,63.478
14/06/2026, 16:29:01,%RH,70.096
14/06/2026, 16:59:01,%RH,72.448
14/06/2026, 17:29:01,%RH,74.771
14/06/2026, 17:59:01,%RH,74.193
14/06/2026, 18:29:01,%RH,76.495
14/06/2026, 18:59:01,%RH,81.012
14/06/2026, 19:29:01,%RH,78.768
14/06/2026, 19:59:01,%RH,74.771
14/06/2026, 20:29:01,%RH,72.448
14/06/2026, 20:59:01,%RH,78.768
14/06/2026, 21:29:01,%RH,86.497
14/06/2026, 21:59:01,%RH,82.676
14/06/2026, 22:29:01,%RH,82.123
14/06/2026, 22:59:01,%RH,85.414
14/06/2026, 23:29:01,%RH,88.107
14/06/2026, 23:59:01,%RH,90.229
15/06/2026, 00:29:01,%RH,89.701
15/06/2026, 00:59:01,%RH,91.279
15/06/2026, 01:29:01,%RH,93.872
15/06/2026, 01:59:01,%RH,96.925
15/06/2026, 02:29:01,%RH,93.872
15/06/2026, 02:59:01,%RH,98.427
15/06/2026, 03:29:01,%RH,99.42
15/06/2026, 03:59:01,%RH,100.405
15/06/2026, 04:29:01,%RH,100.895
15/06/2026, 04:59:01,%RH,98.925
15/06/2026, 05:29:01,%RH,100.405
15/06/2026, 05:59:01,%RH,97.929
15/06/2026, 06:29:01,%RH,85.414
15/06/2026, 06:59:01,%RH,74.193
15/06/2026, 07:29:01,%RH,77.066
15/06/2026, 07:59:01,%RH,74.193
15/06/2026, 08:29:01,%RH,77.635
15/06/2026, 08:59:01,%RH,77.635
15/06/2026, 09:29:01,%RH,76.495
15/06/2026, 09:59:01,%RH,71.275
15/06/2026, 10:29:01,%RH,68.313
15/06/2026, 10:59:01,%RH,66.513
15/06/2026, 11:29:01,%RH,65.305
15/06/2026, 11:59:01,%RH,65.91
15/06/2026, 12:29:01,%RH,65.91
15/06/2026, 12:59:01,%RH,67.715
15/06/2026, 13:29:01,%RH,67.715
15/06/2026, 13:59:01,%RH,66.513
15/06/2026, 14:29:01,%RH,68.909
15/06/2026, 14:59:01,%RH,65.305
15/06/2026, 15:29:01,%RH,68.909
15/06/2026, 15:59:01,%RH,68.313
15/06/2026, 16:29:01,%RH,64.698
15/06/2026, 16:59:01,%RH,65.305
15/06/2026, 17:29:01,%RH,68.313
15/06/2026, 17:59:01,%RH,78.768
15/06/2026, 18:29:01,%RH,77.635
15/06/2026, 18:59:01,%RH,75.348
15/06/2026, 19:29:01,%RH,77.066
15/06/2026, 19:59:01,%RH,79.332
15/06/2026, 20:29:01,%RH,77.635
15/06/2026, 20:59:01,%RH,79.332
15/06/2026, 21:29:01,%RH,79.894
15/06/2026, 21:59:01,%RH,81.569
15/06/2026, 22:29:01,%RH,81.012
15/06/2026, 22:59:01,%RH,83.228
15/06/2026, 23:29:01,%RH,83.777
15/06/2026, 23:59:01,%RH,83.228
16/06/2026, 00:29:01,%RH,84.324
16/06/2026, 00:59:01,%RH,84.87
16/06/2026, 01:29:01,%RH,88.107
16/06/2026, 01:59:01,%RH,88.107
16/06/2026, 02:29:01,%RH,89.171
16/06/2026, 02:59:01,%RH,90.229
16/06/2026, 03:29:01,%RH,91.279
16/06/2026, 03:59:01,%RH,93.357
16/06/2026, 04:29:01,%RH,94.897
16/06/2026, 04:59:01,%RH,93.872
16/06/2026, 05:29:01,%RH,94.386
16/06/2026, 05:59:01,%RH,94.897
16/06/2026, 06:29:01,%RH,95.915
16/06/2026, 06:59:01,%RH,94.897
16/06/2026, 07:29:01,%RH,94.897
16/06/2026, 07:59:01,%RH,97.929
16/06/2026, 08:29:01,%RH,97.428
16/06/2026, 08:59:01,%RH,96.925
16/06/2026, 09:29:01,%RH,96.421
16/06/2026, 09:59:01,%RH,96.925
16/06/2026, 10:29:01,%RH,97.428
16/06/2026, 10:59:01,%RH,95.407
16/06/2026, 11:29:01,%RH,94.386
16/06/2026, 11:59:01,%RH,94.386
16/06/2026, 12:29:01,%RH,87.572
16/06/2026, 12:59:01,%RH,85.956
16/06/2026, 13:29:01,%RH,86.497
16/06/2026, 13:59:01,%RH,79.332
16/06/2026, 14:29:01,%RH,74.193
16/06/2026, 14:59:01,%RH,70.686
16/06/2026, 15:29:01,%RH,72.448
16/06/2026, 15:59:01,%RH,79.332
16/06/2026, 16:29:01,%RH,78.768
16/06/2026, 16:59:01,%RH,78.202
16/06/2026, 17:29:01,%RH,74.193
16/06/2026, 17:59:01,%RH,79.332
16/06/2026, 18:29:01,%RH,82.123
16/06/2026, 18:59:01,%RH,84.324
16/06/2026, 19:29:01,%RH,83.777
16/06/2026, 19:59:01,%RH,92.321
16/06/2026, 20:29:01,%RH,94.897
16/06/2026, 20:59:01,%RH,95.407
16/06/2026, 21:29:01,%RH,93.872
16/06/2026, 21:59:01,%RH,95.407
16/06/2026, 22:29:01,%RH,96.421
16/06/2026, 22:59:01,%RH,94.897
16/06/2026, 23:29:01,%RH,96.421
16/06/2026, 23:59:01,%RH,98.925
17/06/2026, 00:29:01,%RH,99.42
17/06/2026, 00:59:01,%RH,99.42
17/06/2026, 01:29:01,%RH,100.895
17/06/2026, 01:59:01,%RH,101.383
17/06/2026, 02:29:01,%RH,101.383
17/06/2026, 02:59:01,%RH,101.87
17/06/2026, 03:29:01,%RH,102.354
17/06/2026, 03:59:01,%RH,101.87
17/06/2026, 04:29:01,%RH,102.354
17/06/2026, 04:59:01,%RH,101.383
17/06/2026, 05:29:01,%RH,101.87
17/06/2026, 05:59:01,%RH,101.383
17/06/2026, 06:29:01,%RH,100.405
17/06/2026, 06:59:01,%RH,100.405
17/06/2026, 07:29:01,%RH,100.895
17/06/2026, 07:59:01,%RH,101.87
17/06/2026, 08:29:01,%RH,101.383
17/06/2026, 08:59:01,%RH,100.405
17/06/2026, 09:29:01,%RH,99.913
17/06/2026, 09:59:01,%RH,98.427
17/06/2026, 10:29:01,%RH,98.925
17/06/2026, 10:59:01,%RH,98.925
17/06/2026, 11:29:01,%RH,97.929
17/06/2026, 11:59:01,%RH,96.925
17/06/2026, 12:29:01,%RH,93.872
17/06/2026, 12:59:01,%RH,91.279
17/06/2026, 13:29:01,%RH,87.572
17/06/2026, 13:59:01,%RH,82.676
17/06/2026, 14:29:01,%RH,74.193
17/06/2026, 14:59:01,%RH,75.348
17/06/2026, 15:29:01,%RH,76.495
17/06/2026, 15:59:01,%RH,70.686
17/06/2026, 16:29:01,%RH,68.909
17/06/2026, 16:59:01,%RH,68.313
17/06/2026, 17:29:01,%RH,71.275
17/06/2026, 17:59:01,%RH,74.193
17/06/2026, 18:29:01,%RH,79.894
17/06/2026, 18:59:01,%RH,81.012
17/06/2026, 19:29:01,%RH,79.894
17/06/2026, 19:59:01,%RH,82.676
17/06/2026, 20:29:01,%RH,83.777
17/06/2026, 20:59:01,%RH,87.572
17/06/2026, 21:29:01,%RH,89.701
17/06/2026, 21:59:01,%RH,91.801
17/06/2026, 22:29:01,%RH,90.754
17/06/2026, 22:59:01,%RH,92.321
17/06/2026, 23:29:01,%RH,94.386
17/06/2026, 23:59:01,%RH,94.897
18/06/2026, 00:29:01,%RH,95.915
18/06/2026, 00:59:01,%RH,96.421
18/06/2026, 01:29:01,%RH,97.428
18/06/2026, 01:59:01,%RH,97.929
18/06/2026, 02:29:01,%RH,97.929
18/06/2026, 02:59:01,%RH,97.929
18/06/2026, 03:29:01,%RH,97.929
18/06/2026, 03:59:01,%RH,98.427
18/06/2026, 04:29:01,%RH,98.925
18/06/2026, 04:59:01,%RH,99.913
18/06/2026, 05:29:01,%RH,97.929
18/06/2026, 05:59:01,%RH,98.427
18/06/2026, 06:29:01,%RH,96.421
18/06/2026, 06:59:01,%RH,89.171
18/06/2026, 07:29:01,%RH,90.754
18/06/2026, 07:59:01,%RH,93.872
18/06/2026, 08:29:01,%RH,90.754
18/06/2026, 08:59:01,%RH,89.171
18/06/2026, 09:29:01,%RH,87.572
18/06/2026, 09:59:01,%RH,91.279
18/06/2026, 10:29:01,%RH,90.754
18/06/2026, 10:59:01,%RH,88.107
18/06/2026, 11:29:01,%RH,88.64
18/06/2026, 11:59:01,%RH,95.407
18/06/2026, 12:29:01,%RH,97.929
18/06/2026, 12:59:01,%RH,92.321
18/06/2026, 13:29:01,%RH,91.801
18/06/2026, 13:59:01,%RH,88.64
18/06/2026, 14:29:01,%RH,88.107
18/06/2026, 14:59:01,%RH,95.407
18/06/2026, 15:29:01,%RH,98.427
18/06/2026, 15:59:01,%RH,99.42
18/06/2026, 16:29:01,%RH,99.42
18/06/2026, 16:59:01,%RH,99.913
18/06/2026, 17:29:01,%RH,99.913
18/06/2026, 17:59:01,%RH,101.383
18/06/2026, 18:29:01,%RH,99.913
18/06/2026, 18:59:01,%RH,99.42
18/06/2026, 19:29:01,%RH,99.42
18/06/2026, 19:59:01,%RH,99.913
18/06/2026, 20:29:01,%RH,99.913
18/06/2026, 20:59:01,%RH,100.895
18/06/2026, 21:29:01,%RH,100.405
18/06/2026, 21:59:01,%RH,100.895
18/06/2026, 22:29:01,%RH,100.405
18/06/2026, 22:59:01,%RH,101.383
18/06/2026, 23:29:01,%RH,100.405
18/06/2026, 23:59:01,%RH,100.895
19/06/2026, 00:29:01,%RH,100.895
19/06/2026, 00:59:01,%RH,100.895
19/06/2026, 01:29:01,%RH,100.895
19/06/2026, 01:59:01,%RH,99.913
19/06/2026, 02:29:01,%RH,100.405
19/06/2026, 02:59:01,%RH,99.913
19/06/2026, 03:29:01,%RH,99.42
19/06/2026, 03:59:01,%RH,99.913
19/06/2026, 04:29:01,%RH,98.925
19/06/2026, 04:59:01,%RH,98.427
19/06/2026, 05:29:01,%RH,98.427
19/06/2026, 05:59:01,%RH,98.925
19/06/2026, 06:29:01,%RH,96.421
19/06/2026, 06:59:01,%RH,98.925
19/06/2026, 07:29:01,%RH,98.427
19/06/2026, 07:59:01,%RH,93.357
19/06/2026, 08:29:01,%RH,91.801
19/06/2026, 08:59:01,%RH,93.872
19/06/2026, 09:29:01,%RH,97.929
19/06/2026, 09:59:01,%RH,99.42
19/06/2026, 10:29:01,%RH,99.42
19/06/2026, 10:59:01,%RH,99.913
19/06/2026, 11:29:01,%RH,97.428
19/06/2026, 11:59:01,%RH,96.421
19/06/2026, 12:29:01,%RH,99.42
19/06/2026, 12:59:01,%RH,99.913
19/06/2026, 13:29:01,%RH,99.913
19/06/2026, 13:59:01,%RH,99.913
19/06/2026, 14:29:01,%RH,100.405
19/06/2026, 14:59:01,%RH,100.405
19/06/2026, 15:29:01,%RH,100.405
19/06/2026, 15:59:01,%RH,101.383
19/06/2026, 16:29:01,%RH,101.383
19/06/2026, 16:59:01,%RH,100.895
19/06/2026, 17:29:01,%RH,100.895
19/06/2026, 17:59:01,%RH,101.87
19/06/2026, 18:29:01,%RH,100.895
19/06/2026, 18:59:01,%RH,100.895
19/06/2026, 19:29:01,%RH,99.913
19/06/2026, 19:59:01,%RH,98.925
19/06/2026, 20:29:01,%RH,99.42
19/06/2026, 20:59:01,%RH,100.405
19/06/2026, 21:29:01,%RH,100.895
19/06/2026, 21:59:01,%RH,100.895
19/06/2026, 22:29:01,%RH,101.87
19/06/2026, 22:59:01,%RH,103.318
19/06/2026, 23:29:01,%RH,101.87
19/06/2026, 23:59:01,%RH,102.837
20/06/2026, 00:29:01,%RH,101.87
20/06/2026, 00:59:01,%RH,102.837
20/06/2026, 01:29:01,%RH,102.837
20/06/2026, 01:59:01,%RH,102.837
20/06/2026, 02:29:01,%RH,101.87
20/06/2026, 02:59:01,%RH,102.837
20/06/2026, 03:29:01,%RH,103.318
20/06/2026, 03:59:01,%RH,102.837
20/06/2026, 04:29:01,%RH,103.797
20/06/2026, 04:59:01,%RH,103.318
20/06/2026, 05:29:01,%RH,103.318
20/06/2026, 05:59:01,%RH,103.797
20/06/2026, 06:29:01,%RH,103.318
20/06/2026, 06:59:01,%RH,103.318
20/06/2026, 07:29:01,%RH,103.318
20/06/2026, 07:59:01,%RH,101.87
20/06/2026, 08:29:01,%RH,101.87
20/06/2026, 08:59:01,%RH,98.427
20/06/2026, 09:29:01,%RH,92.84
20/06/2026, 09:59:01,%RH,90.229
20/06/2026, 10:29:01,%RH,84.324
20/06/2026, 10:59:01,%RH,83.228
20/06/2026, 11:29:01,%RH,80.454
20/06/2026, 11:59:01,%RH,75.922
20/06/2026, 12:29:01,%RH,67.715
20/06/2026, 12:59:01,%RH,67.115
20/06/2026, 13:29:01,%RH,67.715
20/06/2026, 13:59:01,%RH,68.313
20/06/2026, 14:29:01,%RH,70.686
20/06/2026, 14:59:01,%RH,67.115
20/06/2026, 15:29:01,%RH,67.115
20/06/2026, 15:59:01,%RH,67.115
20/06/2026, 16:29:01,%RH,68.909
20/06/2026, 16:59:01,%RH,71.275
20/06/2026, 17:29:01,%RH,73.031
20/06/2026, 17:59:01,%RH,67.715
20/06/2026, 18:29:01,%RH,69.503
20/06/2026, 18:59:01,%RH,81.012
20/06/2026, 19:29:01,%RH,87.572
20/06/2026, 19:59:01,%RH,93.872
20/06/2026, 20:29:01,%RH,97.428
20/06/2026, 20:59:01,%RH,98.427
20/06/2026, 21:29:01,%RH,99.913
20/06/2026, 21:59:01,%RH,100.895
20/06/2026, 22:29:01,%RH,101.87
20/06/2026, 22:59:01,%RH,101.87
20/06/2026, 23:29:01,%RH,102.837
20/06/2026, 23:59:01,%RH,103.318
21/06/2026, 00:29:01,%RH,103.318
21/06/2026, 00:59:01,%RH,104.274
21/06/2026, 01:29:01,%RH,104.274
21/06/2026, 01:59:01,%RH,104.75
21/06/2026, 02:29:01,%RH,104.75
21/06/2026, 02:59:01,%RH,104.75
21/06/2026, 03:29:01,%RH,104.274
21/06/2026, 03:59:01,%RH,105.695
21/06/2026, 04:29:01,%RH,104.75
21/06/2026, 04:59:01,%RH,105.695
21/06/2026, 05:29:01,%RH,105.695
21/06/2026, 05:59:01,%RH,105.223
21/06/2026, 06:29:01,%RH,71.275
21/06/2026, 06:59:01,%RH,74.771
21/06/2026, 07:29:01,%RH,74.771
21/06/2026, 07:59:01,%RH,68.313
21/06/2026, 08:29:01,%RH,61.018
21/06/2026, 08:59:01,%RH,59.777
21/06/2026, 09:29:01,%RH,58.529
21/06/2026, 09:59:01,%RH,57.902
21/06/2026, 10:29:01,%RH,56.643
21/06/2026, 10:59:01,%RH,48.938
21/06/2026, 11:29:01,%RH,50.241
21/06/2026, 11:59:01,%RH,50.241
21/06/2026, 12:29:01,%RH,47.629
21/06/2026, 12:59:01,%RH,44.989
21/06/2026, 13:29:01,%RH,47.629
21/06/2026, 13:59:01,%RH,48.285
21/06/2026, 14:29:01,%RH,53.465
21/06/2026, 14:59:01,%RH,53.465
21/06/2026, 15:29:01,%RH,52.823
21/06/2026, 15:59:01,%RH,46.313
21/06/2026, 16:29:01,%RH,47.629
21/06/2026, 16:59:01,%RH,51.536
21/06/2026, 17:29:01,%RH,48.938
21/06/2026, 17:59:01,%RH,49.59
21/06/2026, 18:29:01,%RH,56.011
21/06/2026, 18:59:01,%RH,56.643
21/06/2026, 19:29:01,%RH,58.529
21/06/2026, 19:59:01,%RH,66.513
21/06/2026, 20:29:01,%RH,72.448
21/06/2026, 20:59:01,%RH,75.922
21/06/2026, 21:29:01,%RH,78.768
21/06/2026, 21:59:01,%RH,81.012
21/06/2026, 22:29:01,%RH,82.123
21/06/2026, 22:59:01,%RH,82.676
21/06/2026, 23:29:01,%RH,82.676
21/06/2026, 23:59:01,%RH,83.777
22/06/2026, 00:29:01,%RH,86.497
22/06/2026, 00:59:01,%RH,87.572
22/06/2026, 01:29:01,%RH,88.64
22/06/2026, 01:59:01,%RH,87.035
22/06/2026, 02:29:01,%RH,82.676
22/06/2026, 02:59:01,%RH,82.123
22/06/2026, 03:29:01,%RH,83.777
22/06/2026, 03:59:01,%RH,81.012
22/06/2026, 04:29:01,%RH,83.228
22/06/2026, 04:59:01,%RH,82.123
22/06/2026, 05:29:01,%RH,81.569
22/06/2026, 05:59:01,%RH,84.87
22/06/2026, 06:29:01,%RH,85.414
22/06/2026, 06:59:01,%RH,85.414
22/06/2026, 07:29:01,%RH,82.123
22/06/2026, 07:59:01,%RH,83.777
22/06/2026, 08:29:01,%RH,78.768
22/06/2026, 08:59:01,%RH,77.635
22/06/2026, 09:29:01,%RH,75.922
22/06/2026, 09:59:01,%RH,74.193
22/06/2026, 10:29:01,%RH,70.096
22/06/2026, 10:59:01,%RH,68.313
22/06/2026, 11:29:01,%RH,66.513
22/06/2026, 11:59:01,%RH,63.478
22/06/2026, 12:29:01,%RH,64.698
22/06/2026, 12:59:01,%RH,64.698
22/06/2026, 13:29:01,%RH,64.698
22/06/2026, 13:59:01,%RH,67.115
22/06/2026, 14:29:01,%RH,65.305
22/06/2026, 14:59:01,%RH,74.771
22/06/2026, 15:29:01,%RH,72.448
22/06/2026, 15:59:01,%RH,74.193
22/06/2026, 16:29:01,%RH,74.771
22/06/2026, 16:59:01,%RH,67.115
22/06/2026, 17:29:01,%RH,69.503
22/06/2026, 17:59:01,%RH,64.698
22/06/2026, 18:29:01,%RH,65.305
22/06/2026, 18:59:01,%RH,65.305
22/06/2026, 19:29:01,%RH,65.305
22/06/2026, 19:59:01,%RH,63.478
22/06/2026, 20:29:01,%RH,62.866
22/06/2026, 20:59:01,%RH,64.698
22/06/2026, 21:29:01,%RH,65.305
22/06/2026, 21:59:01,%RH,65.91
22/06/2026, 22:29:01,%RH,70.686
22/06/2026, 22:59:01,%RH,74.193
22/06/2026, 23:29:01,%RH,74.771
22/06/2026, 23:59:01,%RH,80.454
23/06/2026, 00:29:01,%RH,88.107
23/06/2026, 00:59:01,%RH,89.701
23/06/2026, 01:29:01,%RH,91.279
23/06/2026, 01:59:01,%RH,92.321
23/06/2026, 02:29:01,%RH,90.754
23/06/2026, 02:59:01,%RH,92.84
23/06/2026, 03:29:01,%RH,92.321
